site,site_id,sample_id,sample_no,filter_wgt_mg,filter_alum_wgt_mg,dry_wgt_mg,final_dry_wgt_mg,protocol
Sandspit,SC,EPI_07,7,NA,NA,NA,NA,>500um
Sandspit,SC,EPI_09,9,NA,NA,NA,NA,>500um
Sandspit,SC,EPI_03,3,NA,NA,NA,NA,>500um
Sandspit,SC,EPI_06,6,NA,NA,NA,NA,>500um
Sandspit,SC,EPI_02,2,NA,NA,NA,NA,>500um
Sandspit,SC,EPI_05,5,NA,NA,NA,NA,>500um
Sandspit,SC,EPI_04,4,NA,NA,NA,NA,>500um
Goose_W,GW,EPI_08,8,132.4,637,814.6,177.6,full
Goose_W,GW,EPI_04,4,132.1,697,777.4,80.4,full
Goose_W,GW,EPI_09,9,125.8,776.7,922.6,145.9,full
Goose_W,GW,EPI_02,2,125.6,577.1,612.6,35.5,full
Goose_W,GW,EPI_07,7,131,643.1,687.2,44.1,full
Triquet_B,TB,EPI_09,9,126.5,652.6,742.7,90.1,full
Triquet_B,TB,EPI_08,8,126.7,541.4,570.7,29.3,full
Triquet_B,TB,EPI_03,3,124.2,518.3,757.3,239,full
Triquet_B,TB,EPI_01_1,1,124.9,569.5,945.9,376.4,mf
Triquet_B,TB,EPI_01_2,1,127.1,707.8,738.9,31.1,mf
McMullin_S,MS,EPI_03_1,3,131.4,578.5,608.9,30.4,mf
McMullin_S,MS,EPI_03_2,3,132.8,458.8,467.7,8.9,mf
McMullin_S,MS,EPI_08_1,8,127.2,709.4,729.6,20.2,mf
McMullin_S,MS,EPI_08_2,8,125.3,586.4,617.5,31.1,mf
McMullin_S,MS,EPI_09_1,9,126.6,462.3,504.6,42.3,mf
McMullin_S,MS,EPI_09_2,9,126.5,459.4,499.3,39.9,mf
McMullin_S,MS,EPI_01_1,1,126.9,542.6,557.8,15.2,mf
McMullin_S,MS,EPI_01_2,1,132,570,591.6,21.6,mf
McMullin_S,MS,EPI_01_3,1,128.3,458,481.4,23.4,mf
McMullin_S,MS,EPI_06,6,130.1,416.2,446,29.8,subsample
McMullin_S,MS,EPI_04,4,127,416.9,432.8,15.9,subsample
L_Choked,LC,EPI_05_1,5,127.5,426.9,443.4,16.5,subsample
L_Choked,LC,EPI_05_2,5,132.4,439.1,463.3,24.2,subsample
L_Choked,LC,EPI_05_3,5,126.1,462.4,491.5,29.1,
L_Choked,LC,EPI_06,6,132.7,467,497.6,30.6,
L_Choked,LC,EPI_07,7,125.9,442.1,469.1,27,
L_Choked,LC,EPI_03,3,500,606.1,635.8,29.7,
L_Choked,LC,EPI_04,4,500,597.8,624.5,26.7,
L_Choked,LC,EPI_02,2,400,583.3,609.8,26.5,
L_Choked,LC,EPI_08,8,126.1,485.1,531.2,46.1,
L_Choked,LC,EPI_09,9,127.9,446.9,478.1,31.2,
Goose_E,GE,EPI_04,4,500,666.3,691,24.7,
Goose_E,GE,EPI_07,5,500,238,666.5,428.5,
Goose_E,GE,EPI_05,7,400,572.3,594.8,22.5,
Goose_E,GE,EPI_E,Extra,125.5,463.9,483.4,19.5,
McMullin_N,MN,EPI_09,9,400,587.6,619.2,31.6,
McMullin_N,MN,EPI_06,6,700,867,896.1,29.1,
McMullin_N,MN,EPI_03,3,500,671.1,703.9,32.8,
McMullin_N,MN,EPI_08,8,500,672.4,708.6,36.2,
McMullin_N,MN,EPI_05,5,500,632.5,719,86.5,
McMullin_N,MN,EPI_04,4,500,640.7,677.2,36.5,
McMullin_N,MN,EPI_01,1,600,677.1,708.1,31,
McMullin_N,MN,EPI_02,2,500,564.2,597.8,33.6,
McMullin_N,MN,EPI_07,7,500,629.8,658,28.2,
N_Triquet,NT,EPI_01,1,500,608.1,635,26.9,
N_Triquet,NT,EPI_02,2,500,611.4,617.3,5.9,
N_Triquet,NT,EPI_03,3,245.7,372.7,378.6,5.9,
N_Triquet,NT,EPI_04,4,400,545.2,553.3,8.1,
N_Triquet,NT,EPI_05,5,500,619.5,624.5,5,
N_Triquet,NT,EPI_06,6,400,528.1,558.5,30.4,
N_Triquet,NT,EPI_08,8,500,627,657.5,30.5,
N_Triquet,NT,EPI_09,9,400,533.6,557.5,23.9,
